"","chromosome","genesymbol","position","clustersize"
"1","chr1","MTND1P23",629425,1890
"27","chr1","MTND1P23",629191,9
"51","chr1","MTND1P23",629236,3
"93","chr1","MTND1P23",629267,11
"234","chr1","MTND1P23",629766,395
"343","chr1","MTND1P23",629601,107
"358","chr1","MTND1P23",630408,57
"360","chr1","MTND1P23",630663,94
"361","chr1","MTND1P23",630144,114
"364","chr1","MTND1P23",630605,91
"377","chr1","MTND1P23",629954,36
"393","chr1","MTND2P28",630663,94
"394","chr1","MTND2P28",630144,114
"395","chr1","MTND2P28",630605,91
"396","chr1","MTND2P28",629766,395
"401","chr1","MTND2P28",630743,3
"405","chr1","MTND2P28",629954,36
"417","chr1","MTND2P28",630014,2
"427","chr1","MTND2P28",630484,48
"430","chr1","MTND2P28",630408,57
"441","chr1","MTND2P28",631044,15
"442","chr1","MTND2P28",630897,25
"445","chr1","MTCO1P12",630984,21
"446","chr1","MTCO1P12",631265,368
"448","chr1","MTCO1P12",632034,193
"450","chr1","MTCO1P12",631477,146
"451","chr1","MTCO1P12",631641,156
"452","chr1","MTCO1P12",631131,109
"461","chr1","MTCO1P12",631563,23
"462","chr1","MTCO1P12",632457,103
"464","chr1","MTCO1P12",633465,18200
"467","chr1","MTCO1P12",631362,98
"474","chr1","MTCO1P12",632562,264
"477","chr1","MTCO1P12",632351,60
"485","chr1","MTCO1P12",632714,52
"487","chr1","MTCO1P12",632908,182
"491","chr1","MTCO1P12",631841,97
"503","chr1","MTCO1P12",632286,80
"512","chr1","MTCO1P12",631534,10
"515","chr1","MTCO1P12",631760,95
"526","chr1","MTCO1P12",632228,41
"549","chr1","MTCO1P12",632415,10
"588","chr1","MTCO1P12",631940,25
"606","chr1","MTCO1P12",631892,21
"607","chr1","MTCO1P12",631415,24
"652","chr1","MTCO1P12",632133,60
"670","chr1","MTCO1P12",632657,85
"715","chr1","MTCO1P12",632388,16
"768","chr1","MTCO1P12",632180,3
"1072","chr1","MTCO1P12",633077,93
"1196","chr1","MTCO1P12",633243,247
"3442","chr1","MTCO1P12",633023,4
"3636","chr1","MTCO1P12",632994,14
"3776","chr1","MTCO2P12",633465,18200
"3780","chr1","MTCO2P12",633243,247
"3839","chr1","MTCO2P12",633077,93
"4545","chr1","MTCO2P12",633783,34
"4546","chr1","MTCO2P12",634142,82
"4547","chr1","MTCO2P12",633943,78
"4548","chr1","MTCO2P12",634357,34
"4551","chr1","MTATP8P1",633783,34
"4552","chr1","MTATP8P1",634357,34
"4553","chr1","MTATP8P1",634142,82
"4554","chr1","MTATP8P1",633943,78
"4559","chr1","MTATP8P1",634269,4
"4564","chr1","MTATP6P1",634142,82
"4568","chr1","MTATP6P1",634357,34
"4571","chr1","MTATP6P1",634740,86
"4576","chr1","MTATP6P1",634878,70
"4586","chr1","MTATP6P1",634627,21
"4591","chr1","MTCO3P12",634878,70
"4592","chr1","MTCO3P12",634740,86
"4598","chr1","LINC01128",854100,10
"4599","chr1","LINC01128",854190,2
"4600","chr1","LOC100288175",1066358,36
"4602","chr1","LOC100288175",1113216,5
"4604","chr1","LOC100288175",1066333,1
"4611","chr1","LOC100288175",1066456,10
"4612","chr1","LOC100288175",1066406,2
"4614","chr1",NA,1692084,2
"4615","chr1",NA,1745359,2
"4616","chr1","TNFRSF14",2558469,1
"4617","chr1","LOC100996583",2577373,2
"4618","chr1","KCNAB2",6086334,1
"4619","chr1","KCNAB2",6101193,12
"4622","chr1","CAMTA1",6872037,2
"4623","chr1","CAMTA1",6871945,1
"4624","chr1","CAMTA1",6871995,6
"4625","chr1","PARK7",7985268,28
"4630","chr1","PARK7",7977724,3
"4632","chr1","PARK7",7985241,10
"4635","chr1",NA,8975080,57
"4638","chr1",NA,8979905,10
"4648","chr1",NA,8975023,2
"4658","chr1","CA6",8979905,10
"4660","chr1","CA6",8975080,57
"4669","chr1","UBE4B",10180441,3
"4670","chr1","KIF1B",10299073,3
"4671","chr1","KIF1B",10380720,1
"4672","chr1","CENPS-CORT",10438527,1
"4673","chr1","CENPS-CORT",10438728,1
"4674","chr1","PEX14",10542183,1
"4675","chr1","TARDBP",11018843,1
"4676","chr1","TARDBP",11024012,1
"4677","chr1","FBXO44",11662275,2
"4678","chr1","FBXO6",11674338,2
"4679","chr1","AGTRAP",11750753,3
"4680","chr1","VPS13D",12510716,1
"4681","chr1",NA,13330106,1
"4682","chr1",NA,15581006,1
"4683","chr1","CHCHD2P6",15605306,109
"4685","chr1","CHCHD2P6",15605258,4
"4686","chr1","CHCHD2P6",15605155,5
"4694","chr1","RPL12P14",15793360,138
"4697","chr1","RPL12P14",15793320,9
"4698","chr1","RPL12P14",15793081,12
"4728","chr1","RPS16P1",15828764,1336
"4745","chr1","RPS16P1",15828698,96
"4786","chr1","RPS16P1",15828580,2
"5021","chr1",NA,15839504,1
"5022","chr1","SZRD1",16391394,1
"5023","chr1","SZRD1",16396385,7
"5025","chr1","SZRD1",16398119,5
"5026","chr1","NECAP2",16460062,3
"5028","chr1","NECAP2",16460093,3
"5029","chr1","RNU1-4",16740660,7
"5031","chr1","RNU1-2",16896133,5
"5033","chr1","PADI4",17358878,6
"5036","chr1","EMC1-AS1",19223522,1
"5037","chr1","EMC1-AS1",19231264,1
"5038","chr1","EMC1-AS1",19230587,1
"5039","chr1","MRTO4",19259115,5
"5040","chr1","MRTO4",19259432,11
"5041","chr1","MRTO4",19259007,26
"5042","chr1","MICOS10-NBL1",19677187,50
"5045","chr1","MICOS10-NBL1",19626597,15
"5053","chr1","MICOS10-NBL1",19608640,96
"5055","chr1","MICOS10-NBL1",19608571,664
"5057","chr1","MICOS10-NBL1",19632289,2
"5229","chr1",NA,20662894,1
"5230","chr1","NBPF3",21456911,1
"5231","chr1","NBPF3",21484901,1
"5232","chr1","RPL21P29",21908286,5
"5233","chr1","RPL21P29",21908630,13
"5235","chr1","RPL21P29",21908160,1
"5236","chr1","RPL21P29",21908603,5
"5241","chr1","RPL21P29",21908221,4
"5242","chr1","RPL21P29",21908396,3
"5246","chr1","RPL21P29",21908573,1
"5249","chr1","CDC42",22092408,83
"5252","chr1","CDC42",22091629,29
"5254","chr1","CDC42",22091596,26
"5262","chr1","CDC42",22091810,27
"5267","chr1","CDC42",22092556,1
"5275","chr1","CDC42",22091752,9
"5278","chr1","CDC42",22092866,2
"5282","chr1","CDC42",22092486,1
"5284","chr1","CDC42",22092928,4
"5285","chr1",NA,23113904,1
"5286","chr1",NA,23602256,1
"5287","chr1","RPL11",23693908,93
"5288","chr1","RPL11",23696405,469
"5291","chr1","RPL11",23694701,176
"5302","chr1","RPL11",23725492,1
"5307","chr1","RPL11",23696369,26
"5340","chr1","RPL11",23693832,3
"5346","chr1","RPL11",23815944,6
"5353","chr1","RPL11",23738754,18
"5370","chr1","RPL11",23695888,19
"5386","chr1","RPL11",23732155,2
"5407","chr1","RPL11",23882371,1
"5446","chr1","RPL11",23695858,4
"5449","chr1","RPL11",23819118,1
"5487","chr1","RPL11",23700273,1
